//
// x0 values  from MATLAB
//
@00000000 111101011110_1001
@00000001 001011011010_1001
@00000002 001110101100_1100
@00000003 000000001000_0000
@00000004 111111111000_0000
@00000005 111001110001_0100
@00000006 110110101000_1100
@00000007 001000011110_1011
@00000008 001001011010_0100
@00000009 000001110000_0001
@0000000a 111001011111_0111
@0000000b 111011111110_0010
@0000000c 000000001000_0000
@0000000d 111101110000_1010
@0000000e 000101000110_0101
@0000000f 111001011100_0110
@00000010 000000001000_0000
@00000011 000000001000_0000
@00000012 111111111011_0000
@00000013 000000001000_0000
@00000014 001011100000_0111
@00000015 111111111000_0000
@00000016 111111111000_0000
@00000017 000111100110_0101
@00000018 000000001000_0000
@00000019 000000001100_1001
@0000001a 000000010100_0011
@0000001b 111111111000_0000
@0000001c 101000101010_0100
@0000001d 001110100101_0011
@0000001e 010010111110_1000
@0000001f 111010100110_1101
@00000020 110010101100_0011
@00000021 000000001000_0000
@00000022 000000001000_0000
@00000023 000000001000_0000
@00000024 111111111000_0000
@00000025 111110110111_1011
@00000026 101110001010_1101
@00000027 111111111000_0000
@00000028 111000101110_1111
@00000029 111011011111_0101
@0000002a 111111010111_1101
@0000002b 111000101010_0100
@0000002c 000000001000_0000
@0000002d 001001001001_1111
@0000002e 110011011111_0001
@0000002f 000000010110_0001
@00000030 010010010100_0110
@00000031 110001001011_0101
@00000032 111111111000_0000
@00000033 111111100011_0111
@00000034 111101100100_0011
@00000035 101010100011_0010
@00000036 000000000110_0011
@00000037 111111100010_1001
@00000038 111111111000_0000
@00000039 010001100101_0111
@0000003a 111110011100_0011
@0000003b 110111101101_1110
@0000003c 000101011001_0110
@0000003d 111111111000_0000
@0000003e 111111000111_1010
@0000003f 111111110111_1110
@00000040 111111111000_0000
@00000041 111111111000_0000
@00000042 111110110111_1111
@00000043 000000000011_1001
@00000044 101001011101_0001
@00000045 111011011001_0001
@00000046 110110000110_0000
@00000047 111111111000_0000
@00000048 101001001101_1111
@00000049 000000001000_0000
@0000004a 000001110000_0010
@0000004b 110101110111_1100
@0000004c 000101101011_1110
@0000004d 000010001000_1110
@0000004e 111101110000_0010
@0000004f 010000111010_0100
@00000050 111001101110_1100
@00000051 000100101001_0011
@00000052 000100110010_1110
@00000053 111110011011_0111
@00000054 111111111100_0111
@00000055 001111001001_0110
@00000056 111001010010_1101
@00000057 000011111000_0111
@00000058 110101111100_1110
@00000059 000000001000_0000
@0000005a 111111111001_0111
@0000005b 000000010110_1101
@0000005c 111111111000_0000
@0000005d 000000001000_0000
@0000005e 111011011111_0100
@0000005f 010010001011_1011
@00000060 111100001001_1001
@00000061 000000001000_0000
@00000062 111101010011_0100
@00000063 111110101111_1101
@00000064 001011010010_0100
@00000065 111000101111_1111
@00000066 000000000010_0110
@00000067 000000001000_0000
@00000068 000000000001_0110
@00000069 111110111111_0011
@0000006a 000000001000_0000
@0000006b 111111111000_0000
@0000006c 101010001111_0010
@0000006d 110110110001_1101
@0000006e 000000001000_0000
@0000006f 111110100110_0010
@00000070 000001010101_1001
@00000071 110100101001_1110
@00000072 000000001001_0100
@00000073 000000001000_0000
@00000074 000010100001_1011
@00000075 000000001010_0110
@00000076 000010110101_0110
@00000077 000110101110_0111
@00000078 000100011101_0001
@00000079 000010010011_1110
@0000007a 000000001000_0000
@0000007b 000000000110_0110
@0000007c 111111111000_0000
@0000007d 110011010010_1110
@0000007e 000000001000_0000
@0000007f 000001101011_1111
@00000080 000000001000_0000
@00000081 000001000011_0010
@00000082 111011001001_1100
@00000083 001001010000_1010
@00000084 001111111011_0000
@00000085 111111111000_0000
@00000086 000000001000_0000
@00000087 000000000110_1001
@00000088 111100000111_0101
@00000089 001001101011_0110
@0000008a 000000001000_0000
@0000008b 111101111001_0010
@0000008c 111111111000_0000
@0000008d 001101100001_0100
@0000008e 000000000011_1100
@0000008f 000110001100_1001
@00000090 000000001000_0000
@00000091 000000001000_0000
@00000092 000110001100_0100
@00000093 111111111000_0000
@00000094 110100101110_0111
@00000095 110110010101_1001
@00000096 110100001010_1000
@00000097 000011100011_0101
@00000098 001001000011_1110
@00000099 111010000011_0001
@0000009a 111111111000_0000
@0000009b 111111010110_0011
@0000009c 000100001000_1011
@0000009d 000011110001_1100
@0000009e 111111111000_1011
@0000009f 111110101111_1011
@000000a0 000000001000_0000
@000000a1 111111111000_0000
@000000a2 000000001000_0101
@000000a3 001011101111_1101
@000000a4 111111111000_0000
@000000a5 000101100101_1011
@000000a6 000010011110_1011
@000000a7 111011101000_1101
@000000a8 000110000110_0001
@000000a9 000000111100_0100
@000000aa 111111111000_0000
@000000ab 110101010110_1110
@000000ac 000000100100_0011
@000000ad 111111111000_0000
@000000ae 110101010010_1001
@000000af 001000010101_1110
@000000b0 101111100000_1010
@000000b1 111010100000_0010
@000000b2 110001100000_1010
@000000b3 110011101100_1100
@000000b4 000010111010_1111
@000000b5 010101010010_1110
@000000b6 000000001000_0000
@000000b7 000000001000_0000
@000000b8 000001011100_0010
@000000b9 000000001000_0000
@000000ba 001000110101_1000
@000000bb 000000001110_1110
@000000bc 110100001001_1101
@000000bd 010000111000_0000
@000000be 000000001000_0000
@000000bf 000010011001_0100
@000000c0 101111100110_0110
@000000c1 000000111011_1100
@000000c2 000000000101_0101
@000000c3 000000111011_1111
@000000c4 111111111000_0000
@000000c5 111111101000_1011
@000000c6 110101110010_1100
@000000c7 000000001000_0000
@000000c8 111101101010_1101
@000000c9 000000001000_0000
@000000ca 001010011000_1011
@000000cb 000000001000_0000
@000000cc 000101011111_1111
@000000cd 001000010110_0000
@000000ce 001000101011_1011
@000000cf 111101001110_1000
@000000d0 000000001000_0000
@000000d1 000110100110_1000
@000000d2 000000001000_0000
@000000d3 001001011101_1111
@000000d4 000110100100_0000
@000000d5 000000001000_0000
@000000d6 000000110011_0011
@000000d7 001110110001_1001
@000000d8 111001001011_0011
@000000d9 000000001000_0000
@000000da 001010011110_1100
@000000db 000000001000_0000
@000000dc 110010001101_1110
@000000dd 110111111110_1001
@000000de 000001100010_0101
@000000df 111100010000_0111
@000000e0 111111111000_0000
@000000e1 000000001000_0000
@000000e2 000001010111_1110
@000000e3 111111111000_0000
@000000e4 111001110110_0111
@000000e5 101111101011_1010
@000000e6 111100110100_0000
@000000e7 111111101001_0110
@000000e8 101100000011_1111
@000000e9 111101100111_0101
@000000ea 000000001000_0000
@000000eb 111011100000_0000
@000000ec 111011011101_1111
@000000ed 111111111000_0000
@000000ee 000010110100_1111
@000000ef 000000001011_0100
@000000f0 000001000011_1101
@000000f1 001010001010_0000
@000000f2 110011000100_0101
@000000f3 111111111000_0000
@000000f4 111110001100_0111
@000000f5 101100010000_1000
@000000f6 111111111000_0000
@000000f7 000110010100_1110
@000000f8 111111111000_0000
@000000f9 000000100000_0000
@000000fa 000001010011_0001
@000000fb 111111111011_0000
@000000fc 111111111000_0000
